trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,turnover_rate,volume_ratio,total_share,float_share,free_share,total_mv,circ_mv
20250701,6.12,61.9409,54.9123,1.6984,0.946,0.919,0.4252,0.4252,0.5179,0.96,116572.23,116222.37,42964.8044,713422.0476,711280.9044
20250702,6.41,64.876,57.5143,1.7789,0.9909,0.9625,0.4059,0.4059,3.3907,6.29,116572.23,116222.37,42964.8044,747227.9943,744985.3917
20250703,6.28,63.5602,56.3479,1.7428,0.9708,0.943,0.4143,0.4143,1.557,1.4,116572.23,116222.37,42964.8044,732073.6044,729876.4836
20250704,6.28,63.5602,56.3479,1.7428,0.9708,0.943,0.4143,0.4143,1.1358,0.87,116572.23,116222.37,42964.8044,732073.6044,729876.4836
20250707,6.35,64.2687,56.976,1.779,0.9816,0.9535,0.4098,0.5358,1.0666,0.75,116572.23,116222.37,42964.8044,740233.6605,738012.0495
20250708,6.6,66.799,59.2191,1.8491,1.0202,0.991,0.3942,0.5155,3.8754,2.53,116572.23,116222.37,42964.8044,769376.718,767067.642
20250709,6.54,66.1917,58.6808,1.8323,1.011,0.982,0.3979,0.5203,2.6982,1.22,116572.23,116222.37,42964.8044,762382.3842,760094.2998
20250710,6.77,68.5195,60.7445,1.8967,1.0465,1.0166,0.3843,0.5026,3.2634,1.58,116572.23,116222.37,42964.8044,789193.9971,786825.4449
20250711,6.64,67.2038,59.578,1.8603,1.0264,0.9971,0.3919,0.5124,2.0244,0.84,116572.23,116222.37,42964.8044,774039.6072,771716.5368
20250714,6.63,67.1026,59.4883,1.8575,1.0249,0.9956,0.3925,0.5132,1.0338,0.4,116572.23,116222.37,42964.8044,772873.8849,770554.3131
20250715,6.47,65.4832,58.0527,1.8127,1.0001,0.9715,0.4022,0.5259,1.5729,0.61,116572.23,116222.37,42964.8044,754222.3281,751958.7339
20250716,6.4,64.7748,57.4246,1.7931,0.9893,0.961,0.4066,0.5316,0.9923,0.47,116572.23,116222.37,42964.8044,746062.272,743823.168
20250717,6.4,64.7748,57.4246,1.7931,0.9893,0.961,0.4066,0.5316,0.7836,0.44,116572.23,116222.37,42964.8044,746062.272,743823.168
20250718,6.45,65.2808,57.8732,1.8071,0.997,0.9685,0.4034,0.5275,0.7544,0.59,116572.23,116222.37,42964.8044,751890.8835,749634.2865
20250721,6.72,68.0135,60.2958,1.8827,1.0388,1.0091,0.3872,0.5063,2.3896,2.33,116572.23,116222.37,42964.8044,783365.3856,781014.3264
20250722,6.81,68.9244,61.1034,1.9079,1.0527,1.0226,0.3821,0.4996,2.1411,1.65,116572.23,116222.37,42964.8044,793856.8863,791474.3397
20250723,6.69,67.7099,60.0267,1.8743,1.0341,1.0046,0.3889,0.5086,2.0444,1.45,116572.23,116222.37,42964.8044,779868.2187,777527.6553
20250724,6.7,67.8111,60.1164,1.8771,1.0357,1.0061,0.3884,0.5078,1.2876,0.79,116572.23,116222.37,42964.8044,781033.941,778689.879
20250725,6.61,66.9002,59.3088,1.8519,1.0218,0.9925,0.3936,0.5148,1.0884,0.63,116572.23,116222.37,42964.8044,770542.4403,768229.8657
20250728,6.6,66.799,59.2191,1.8491,1.0202,0.991,0.3942,0.5155,0.6486,0.36,116572.23,116222.37,42964.8044,769376.718,767067.642
20250729,6.58,66.5965,59.0397,1.8435,1.0171,0.988,0.3954,0.5171,0.768,0.53,116572.23,116222.37,42964.8044,767045.2734,764743.1946
20250730,6.52,65.9893,58.5013,1.8267,1.0079,0.979,0.3991,0.5219,0.6574,0.56,116572.23,116222.37,42964.8044,760050.9396,757769.8524
20250731,6.44,65.1796,57.7835,1.8043,0.9955,0.967,0.404,0.5283,0.7768,0.87,116572.23,116222.37,42964.8044,750725.1612,748472.0628
20250801,6.44,65.1796,57.7835,1.8043,0.9955,0.967,0.404,0.5283,0.6219,0.79,116572.23,116222.37,42964.8044,750725.1612,748472.0628
20250804,6.49,65.6856,58.2321,1.8183,1.0032,0.9745,0.4009,0.5243,0.5382,0.77,116572.23,116222.37,42964.8044,756553.7727,754283.1813
20250805,6.54,66.1917,58.6808,1.8323,1.011,0.982,0.3979,0.5203,0.5316,0.79,116572.23,116222.37,42964.8044,762382.3842,760094.2998
20250806,6.58,66.5965,59.0397,1.8435,1.0171,0.988,0.3954,0.5171,0.6853,1.1,116572.23,116222.37,42964.8044,767045.2734,764743.1946
20250807,6.55,66.2929,58.7705,1.8351,1.0125,0.9835,0.3972,0.5195,0.4889,0.78,116572.23,116222.37,42964.8044,763548.1065,761256.5235
20250808,6.61,66.9002,59.3088,1.8519,1.0218,0.9925,0.3936,0.5148,0.7782,1.36,116572.23,116222.37,42964.8044,770542.4403,768229.8657
20250811,6.66,67.4062,59.7575,1.8659,1.0295,1.0001,0.3907,0.5109,0.9112,1.51,116572.23,116222.37,42964.8044,776371.0518,774040.9842
20250812,6.67,67.5074,59.8472,1.8687,1.0311,1.0016,0.3901,0.5101,0.7253,1.07,116572.23,116222.37,42964.8044,777536.7741,775203.2079
20250813,6.79,68.722,60.9239,1.9023,1.0496,1.0196,0.3832,0.5011,1.5736,2.19,116572.23,116222.37,42964.8044,791525.4417,789149.8923
20250814,6.72,68.0135,60.2958,1.8827,1.0388,1.0091,0.3872,0.5063,1.6211,1.81,116572.23,116222.37,42964.8044,783365.3856,781014.3264
20250815,6.77,68.5195,60.7445,1.8967,1.0465,1.0166,0.3843,0.5026,1.15,1.03,116572.23,116222.37,42964.8044,789193.9971,786825.4449
20250818,6.77,68.5195,60.7445,1.8967,1.0465,1.0166,0.3843,0.5026,1.1338,0.95,116572.23,116222.37,42964.8044,789193.9971,786825.4449
20250819,6.75,68.3171,60.565,1.8911,1.0434,1.0136,0.3855,0.5041,0.9076,0.73,116572.23,116222.37,42964.8044,786862.5525,784500.9975
20250820,6.78,68.6208,60.8342,1.8995,1.0481,1.0181,0.3838,0.5019,0.7625,0.6,116572.23,116222.37,42964.8044,790359.7194,787987.6686
20250821,6.76,68.4183,60.6547,1.8939,1.045,1.0151,0.3849,0.5033,0.8003,0.72,116572.23,116222.37,42964.8044,788028.2748,785663.2212
20250822,6.8,68.8232,61.0136,1.9051,1.0511,1.0211,0.3826,0.5004,0.8712,0.92,116572.23,116222.37,42964.8044,792691.164,790312.116
20250825,7.01,70.9486,61.6776,1.9018,1.0836,0.9651,0.3712,0.4854,3.0299,3.39,116572.23,116222.37,42921.6044,817171.3323,814718.8137
20250826,6.96,70.4425,61.2377,1.8882,1.0759,0.9582,0.3738,0.4889,1.5685,1.23,116572.23,116222.37,42921.6044,811342.7208,808907.6952
20250827,6.76,68.4183,59.478,1.834,1.045,0.9307,0.3849,0.5033,1.6631,1.18,116572.23,116222.37,42921.6044,788028.2748,785663.2212
20250828,6.79,68.722,59.742,1.8421,1.0496,0.9348,0.3832,0.5011,1.5648,0.99,116572.23,116222.37,42921.6044,791525.4417,789149.8923
20250829,6.9,69.8353,60.7098,1.8719,1.0666,0.95,0.3771,0.4931,1.4297,0.82,116572.23,116222.37,42921.6044,804348.387,801934.353
20250901,6.81,68.9244,59.9179,1.8475,1.0527,0.9376,0.3821,0.4996,1.0984,0.59,116572.23,116222.37,42921.6044,793856.8863,791474.3397
20250902,6.94,70.2401,61.0617,1.8828,1.0728,0.9555,0.3749,0.4903,2.208,1.51,116572.23,116222.37,42921.6044,809011.2762,806583.2478
20250903,7.27,73.5801,63.9653,1.9723,1.1238,1.0009,0.3579,0.468,6.6021,4.14,116572.23,116222.37,42921.6044,847480.1121,844936.6299
20250904,7.12,72.0619,62.6455,1.9316,1.1006,0.9802,0.3654,0.4779,4.8227,1.87,116572.23,116222.37,42921.6044,829994.2776,827503.2744
20250905,7.27,73.5801,63.9653,1.9723,1.1238,1.0009,0.3579,0.468,3.6469,1.13,116572.23,116222.37,42921.6044,847480.1121,844936.6299
20250908,7.68,77.7297,67.5727,2.0835,1.1872,1.0573,0.3388,0.443,5.3588,1.46,116572.23,116222.37,42921.6044,895274.7264,892587.8016
20250909,7.66,77.5273,67.3967,2.0781,1.1841,1.0546,0.3397,0.4442,3.7909,0.84,116572.23,116222.37,42921.6044,892943.2818,890263.3542
20250910,7.38,74.6934,64.9331,2.0022,1.1408,1.016,0.3526,0.4611,2.6856,0.55,116572.23,116222.37,42921.6044,860303.0574,857721.0906
20250911,7.38,74.6934,64.9331,2.0022,1.1408,1.016,0.3526,0.4611,2.1855,0.54,116572.23,116222.37,42921.6044,860303.0574,857721.0906
20250912,7.26,73.4789,63.8773,1.9696,1.1223,0.9995,0.3584,0.4687,2.4165,0.68,116572.23,116222.37,42921.6044,846314.3898,843774.4062
20250915,7.3,73.8837,64.2292,1.9805,1.1284,1.005,0.3564,0.4661,1.2415,0.38,116572.23,116222.37,42921.6044,850977.279,848423.301
20250916,7.15,72.3655,62.9094,1.9398,1.1052,0.9844,0.3639,0.4759,1.5844,0.64,116572.23,116222.37,42921.6044,833491.4445,830989.9455
20250917,7.22,73.074,63.5253,1.9588,1.1161,0.994,0.3604,0.4713,0.991,0.49,116572.23,116222.37,42921.6044,841651.5006,839125.5114
20250918,7.03,71.151,61.8536,1.9072,1.0867,0.9678,0.3701,0.484,1.9626,1.17,116572.23,116222.37,42921.6044,819502.7769,817043.2611
